fips,Long,Lat
13055,-85.3454,34.475
13057,-84.4764,34.2439
13059,-83.3675,33.9513
13321,-83.851,31.5516
13065,-82.7063,30.9151
13067,-84.5767,33.9415
13069,-82.8493,31.5492
13071,-83.7688,31.1884
13073,-82.264,33.5442
13075,-83.4305,31.154
13077,-84.7633,33.3535
13079,-83.9864,32.7145
13081,-83.7681,31.923
13083,-85.5045,34.8546
13085,-84.1704,34.4438
13089,-84.2263,33.7715
26001,-83.5938,44.6854
26165,-85.5785,44.3384
26069,-83.636,44.3559
26015,-85.309,42.595
26023,-85.059,41.9161
26025,-85.0055,42.2466
26027,-85.9936,41.9153
26035,-84.8478,43.9879
26037,-84.6015,42.9436
26039,-84.6103,44.6836
26043,-87.8704,46.0091
26045,-84.8384,42.5961
26049,-83.7067,43.0217
26051,-84.3882,43.9906
26057,-84.6048,43.2927
26059,-84.593,41.8878
26065,-84.3736,42.5971
26067,-85.0746,42.9451
26071,-88.5305,46.2087
26073,-84.8467,43.6406
26075,-84.4233,42.2485
26077,-85.5311,42.2454
26079,-85.0902,44.6846
26081,-85.5492,43.0322
26085,-85.8017,43.99
26087,-83.2218,43.0901
26091,-84.0664,41.8951
26093,-83.9115,42.603
26101,-86.0571,44.3332
26107,-85.3245,43.6409
26111,-84.3879,43.6468
26113,-85.0947,44.3373
26117,-85.1524,43.311
26119,-84.1273,45.0276
26123,-85.8009,43.5542
26125,-83.3855,42.6604
26129,-84.1266,44.3349
26133,-85.3252,43.9899
26135,-84.1297,44.6817
26137,-84.5988,45.0214
37093,-79.2371,35.0174
37001,-79.3995,36.044
37003,-81.1772,35.9211
37005,-81.1286,36.4915
37007,-80.1027,34.9738
37009,-81.501,36.4346
37011,-81.9224,36.0766
37021,-82.5302,35.6112
37025,-80.5519,35.3868
37033,-79.3337,36.3934
37035,-81.2144,35.6626
37037,-79.2553,35.7027
37039,-84.0635,35.1339
37043,-83.7502,35.0572
37045,-81.5554,35.334
37051,-78.8273,35.0485
37057,-80.2127,35.7932
37059,-80.5446,35.9292
37063,-78.8764,36.0359
37065,-77.5971,35.9129
37067,-80.2563,36.1304
37069,-78.2857,36.0827
37071,-81.1801,35.2945
37075,-83.8335,35.3502
37077,-78.653,36.304
37079,-77.6756,35.4852
37081,-79.789,36.0794
37083,-77.6519,36.2575
37087,-82.9822,35.5561
37089,-82.4799,35.3362
37097,-80.8736,35.8072
37105,-79.1716,35.475
37109,-81.2239,35.4862
37113,-83.4221,35.1504
37115,-82.7057,35.8581
37119,-80.8328,35.2468
37121,-82.1634,36.0133
37123,-79.9054,35.3324
37125,-79.4813,35.3107
37197,-80.6653,36.1605
37135,-79.1205,36.0614
37145,-78.9717,36.3901
37147,-77.3748,35.5935
37151,-79.806,35.7103
37153,-79.748,35.0059
37155,-79.1035,34.6401
37157,-79.7751,36.3961
37165,-79.4805,34.8411
37167,-80.2507,35.312
37169,-80.2395,36.4018
37171,-80.6882,36.4148
37173,-83.4927,35.4867
37175,-82.7983,35.2022
37179,-80.5307,34.9884
37181,-78.4083,36.3648
37183,-78.6504,35.7901
37185,-78.1069,36.3966
37189,-81.6969,36.2313
37193,-81.1638,36.2065
37195,-77.9185,35.7048
37199,-82.3076,35.8989
37127,-77.9864,35.9672
37159,-80.5247,35.6396
39001,-83.472,38.8457
39003,-84.1057,40.7715
39005,-82.2707,40.846
39009,-82.0452,39.3337
39011,-84.2217,40.5609
39013,-80.9885,40.0158
39015,-83.868,38.9344
39017,-84.5755,39.4386
39019,-81.0897,40.5796
39021,-83.7696,40.1377
39023,-83.7835,39.9168
39175,-83.3044,40.8424
39027,-83.8084,39.415
39029,-80.7775,40.7686
39031,-81.92,40.3017
39033,-82.9197,40.8509
39037,-84.6193,40.1333
39039,-84.4906,41.3239
39041,-83.0052,40.2785
39045,-82.6305,39.7516
39047,-83.4561,39.5599
39049,-83.0093,39.9696
39051,-84.1301,41.6018
39053,-82.3169,38.8247
39057,-83.8898,39.6915
39059,-81.4942,40.0521
39061,-84.5426,39.1954
39063,-83.6665,41.0019
39065,-83.6594,40.6615
39067,-81.0911,40.2938
39069,-84.0682,41.3339
39073,-82.4792,39.497
39075,-81.9294,40.5612
39077,-82.5984,41.1462
39079,-82.6184,39.0197
39081,-80.761,40.385
39083,-82.4216,40.3988
39087,-82.5368,38.5985
39089,-82.4835,40.0918
39091,-83.7658,40.3885
39093,-82.1512,41.2955
39097,-83.3999,39.8941
39099,-80.7753,41.0146
39101,-83.1609,40.5873
39103,-81.8997,41.1176
39105,-82.0229,39.0821
39107,-84.6293,40.54
39109,-84.2289,40.0534
